pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick,gasUsed,gasPrice
mypool,15837688,0xe6bcd4f6b0fa95198541d7c97af1f0a0e067c2c0589b8ed8103a4b276369787b,1666852919,9,0xe6bcd4f6b0fa95198541d7c97af1f0a0e067c2c0589b8ed8103a4b276369787b,0xe2ca3167b89b8cf680d63b06e8aeefc5e4ebe907,recipient,-330.548964,0.21181625388578823,2006087435885031229858924496722383,0,1559.76600826197,202797,442253,473492901124
mypool,15837690,0x16edbe3c494ad4e21d228a8d98a5680f5fcd22d3f03d7697541f175f402003ed,1666852943,450,0x16edbe3c494ad4e21d228a8d98a5680f5fcd22d3f03d7697541f175f402003ed,0x735dbbf2152012c378a5204a421831be8e3bff55,recipient,168.372264,-0.108,2006077094481382468601372810373712,0,1559.7820896095006,202797,313960,10178955194
mypool,15837690,0x52a0b9563163ac48a9fddee3e21d075a9d78792ca6b4d696fe308af5caa2784d,1666852943,265,0x52a0b9563163ac48a9fddee3e21d075a9d78792ca6b4d696fe308af5caa2784d,0x11fc1e54649e91efdeebc6a0bc88c37fa8ebbfec,recipient,-4999.445609,3.203756942567563,2006115847973432938481914806081974,0,1559.7218274675872,202797,324987,10178955194
mypool,15837690,0x9308c65a29bd51429d5da5693fdab2946d8b9db013e90fb54b9f0f869ee46acd,1666852943,2,0x9308c65a29bd51429d5da5693fdab2946d8b9db013e90fb54b9f0f869ee46acd,0x75995f240e6eee8e80ce5898cdb3960da06aaa54,recipient,-79600.111428,51.01360235896057,2006124638153563766799805436123337,0,1559.7081591186525,202797,173547,26464298233
mypool,15837690,0xb2b224c198dfafbb16ccf6fa964238409a4951fd8ea5f117a19c281e8d9ab4f5,1666852943,401,0xb2b224c198dfafbb16ccf6fa964238409a4951fd8ea5f117a19c281e8d9ab4f5,0x33ad49856da25b8e2e2d762c411aeda0d1727918,recipient,-20491.041216,13.13080089893954,2006076773255008885903379919979692,0,1559.7825891349335,202797,345507,10178955194
mypool,15837690,0xece0377b11a44d7c52a4a9e33e0d3b7b1b84d688b4dc6cf61da3e2795cd6f210,1666852943,177,0xece0377b11a44d7c52a4a9e33e0d3b7b1b84d688b4dc6cf61da3e2795cd6f210,0x4bdd0f329875b52d05d9111a0ad4bfa804a319b0,recipient,389.731931,-0.25,2006125381733132245267381571294680,0,1559.7070028929093,202797,398584,10678955194
mypool,15837692,0x254cc25ee884d7c6764a41cd71cdb8f446fc3af0e21e35bbb5ee73f6fbb748a7,1666852967,116,0x254cc25ee884d7c6764a41cd71cdb8f446fc3af0e21e35bbb5ee73f6fbb748a7,0x4b61f24e6cc2a6135df6af8d8e39c9f9de06b479,recipient,88.177212,-0.05656003542207563,2006077262708929397696740807677829,0,1559.7818280061128,202797,361722,10923615017
mypool,15837693,0x24148be1f273602dffe543004701a3fda678e5663e027d7c1ca1e6384274a5ab,1666852979,35,0x24148be1f273602dffe543004701a3fda678e5663e027d7c1ca1e6384274a5ab,0x9fb7dd408fa9073e7aedc3fafb20461853897edc,recipient,381.944009,-0.245,2006107734599645645298010826999481,0,1559.7344435714604,202797,293965,10617613275
mypool,15837693,0x7cefff4ac349286951b8536d3396016fb54608b4f113b961cd007628706e1ee8,1666852979,11,0x7cefff4ac349286951b8536d3396016fb54608b4f113b961cd007628706e1ee8,0xfd700870c05eea211401eaed0d9efb96f7ff3fea,recipient,15589.788228,-10.0,2006107005891668536399786214531565,0,1559.735576702579,202797,195643,11117613275
mypool,15837694,0x415354682f6beb778789151b19ff4852e0eef54b8c3c2d5846a5cb3d544d8116,1666852991,509,0x415354682f6beb778789151b19ff4852e0eef54b8c3c2d5846a5cb3d544d8116,0x34c992770eef2b688b51a899a6416f300ffb8b8b,recipient,101.332037,-0.065,2006107927930333449699580622144030,0,1559.7341429450444,202797,293854,9712295137
